WORD,PLURAL,NOUN_CLASS,DESCRIPTION,POS,PAGE-COLUMN,FULL_ENTRY
kwâbirirwa,-riwee,,être recherché,adj.,P1-C2,"kwâbirirwa, -riwee, (cfr -âbirir-), étre recherché, jouir de Festime générale, Syn. gushimwà."
kwabīrwa,-riwe,,être épouséz,adj.,P1-C2,"kwabīrwa, -riwe, (cfr -abīr-), être épouséz. Syn. kurongorwa. Umurcndo yanse kuja kwabīrwa, une jeune fille qui a refusé d'aller se marier. Yari yâbīiriwe numwămi wó mu rûzi, elle avait été épousée par le roi de la rivière. Mukâ-karyenda yarînda âpfa atâbîriwe, l'épouse de Karyenda doit mourir célibataire."
icăbona,-bona,,,v.,P1-C2,"icăbona, v. -bona."
inyăbu,,9|10,égratignure,,P1-C2,"inyăbu, 9|10, (cfr -abur-), égratignure."
kwabura,-ye,,égratigner,,P1-C2,"kwabura, -ye, (cfr -abu 9), égratigner."
kwabūra,-ye,,"capier discrètement en observant l'exercice d'un métier; écouter les paroles, Fexpression de qqn pour limiter, le ridiculiser. || Chercher un médium pour jeter un sort.",,P1-C2,"kwabūra, -ye, (-ab--) capier discrètement en observant l'exercice d'un métier; écouter les paroles, Fexpression de qqn pour limiter, le ridiculiser. || Chercher un médium pour jeter un sort. Kwabūra umurima, faire en sorte qwun chanp ne réussisse pas, ensorceler un champ et le rendre stérile, Syn. gutôra imbúto."
umwabūzo,imy-,34,balai,,P1-C2,"umwabūzo, imy-, 34, (cfr -abūr-), balai. Syn. umukúbūzo. Imyabūzo, objet, poudre, poison gue lon met dans oun sur la chose de celui à qui on veut jeter un sort; médium magique."
kwââcanīsha,-shije,,séparer,v.,P1-C2,"kwââcanīsha, -shije, (sw.), séparer, || Diviser, dresser l'un conire l'autre. Syn., kwânkanisha."
icāduka,ivy-,7|8,accident,n.,P1-C2,"icāduka, ivy-, 7|8, (cfr -âduk-), accident, événemeni imprévu. Syn. impanuka. || Fig. Yaje nk'icāduka, il esi venu à l'improviste. || Icāduka c'îÎndwâra, une épidémie,"
kwâduka,-tse,7,venir de,v.,P1-C2,"kwâduka, -tse, venir de, provenir de, gikôkó cādutsė he 7, d'où déboule cet animal? || Survenir à limproviste; être accidenté. || Se déclarer (maladie). Hari indwâra yādútse, i y a eu une épidémie."
kwâdukkkana,-nye,,survenir en même temps,v.,P1-C2,"kwâdukkkana, -nye, (cfr -âàduk-), survenir en même temps. || Enlever. Nyā mwâna yaramwâdukanye, et il a kidnappé cet enfant.,"
umwâduruko,imy-,34,fente accidentelle,n.,P1-C2,"umwâduruko, imy-, 34, (cfr -âduk-), fente accidentelle. Syn. umugaāga."
kwaga,-aze,,gratter légèrement,v.,P1-C2,"kwaga, -aze, gratter légèrement. || Fig. Kwaga bāsí, supplier, s'humilier devant qqn."
kwîyaga,-ze,,se gratter,v.,P1-C2,"kwîyaga, -ze, (cfr -ag-), se gratter. || Fig. Kwîyaga umutwé, se fâcher. Prov. 246, 1612, (-îyagw- 1608). ."
kwâga,-ze,,"être très étroit, resserré",adj.,P1-C2,"kwâga, -ze, ĉtre étroit, resserré, || Fig. Kirâga câgutse, je ne sais que faire, je n'en sors pas (à cause de la haine quon me porte). Prov. 414, 493, 1161."
umwăga,,,personne peu sociable,n.,P1-C2,"umwăga, abăga, 1(2, (cfr -âg-), nerveux, agressif. Umuntu wumwăga, personne peu sociable. Prov. 1327."
umwăga,imy-,34,"étroitesse, insociabilité",n.,P2-C1,"umwăga, imy-, 34, (cfr -âg-), étroitesse, insociabilité. Prov. 108, 1327."
urwăga,,11,"difficulté; insociabilité, hargne",n.,P2-C1,"urwăga, 11, (cfr -âg-), difficulté; insociabilité, hargne. Syn. urugōro, umuhágātizo. Umuntu wurwăga, un caractère difficile à fréquenter, un homme peu sociable. || Espèce de plante (non identifiće) à gousses poilues, sorte de poil à gratter (cfr -ag-)."
kwâgaduka,-tse,,être désert,n.,P2-C1,"kwâgaduka, -tse, (cfr -âg-), étre désert,"
kwâgāga,-ze,,porter une grande quantité d'objets,v.,P2-C1,"kwâgāga, -ze, (cfr -âg-), porter une grande guantité d'objeis. Syn. kwâgara. Kwâgāga ku-nda, être veniru, ventripaoteni."
amăgāge,,6,amygdales,n.,P2-C1,"amăgāge, 6, (cfr -âg-), amygdales. Gukúbita ururimi mu magāage, claquer la langue en signe de mépris."
kwââgama,-mye,,être à l'étroit,adj.,P2-C1,"kwââgama, -mye, (cfr -âg-), ĉtre à l'étroit."
kwâgambaa,-vye,,aller à contre-cœur où on est mal reçu,v.,P2-C1,"kwâgambaa, -vye, (cfr -âg-), aller à contre-Ccœur où on est mal reçu. || Marcher d'un pas lourd avec un air menaçant. Inzovu irâgamba mu kabândé, un éléphant avance dans la vallée. || Déborder (rivièrej, || Gouverner un grand pays. i étendre sur, Ruvûbu rurâgamba kuva i Gatára gushika mu kiyága Vigitōriyá, la Ruvubu prend sa source aux environs de Gatara cet se déverse dans le lac Victoria."
umwâgambo,imy-,3l4,vaste endroit dégagé,n.,P2-C1,"umwâgambo, imy-, 3l4, (cfr -âgamb-), vaste endroit dégagé. Kurîisha umwâgambo, pâturer, paître dans un espace étendu où il n'y a aucune entrave, aucune haie."
kwâgamiīira,-riye,,"peiner, marcher péniblement, travailler avec beaucoup de peine",v.,P2-C1,"kwâgamiīira, -riye, (cfr -âgam-), peiner, marcher péniblement, travailler avec beaucoup de peine. Kwâgamira kw-isúka, piocher paresseusement. Kwâgamiīira ku-nda, être près d'accoucher, être à terme (femnme enceinte), Syn. gukúrirwa."
inzăgamīra,,10,"personnes mechantes, insociables, troublions",n.,P2-C1,"inzăgamīra, 10, (cfr -âgamīr-), personnes mechantes, insociables, troublions: on donne ce nort à ceux qui troublent les cérémonies royales lors du « Muganuro », fête des prémices."
kwâgamura,-ye,,soulever une charge très lourde,v.,P2-C1,"kwâgamura, -ye, (cfr -âgamīr-), soulever une charge très lourde."
kwîyagamura,-ye,,"s'ébrouer, s'agiter dans la poussière (poule)",v.,P2-C1,"kwîyagamura, -ye, (cfr -agam-), s'ébrouer, s'agiter dans la poussière (poule). Syn. kwîvurunga."
kwîyagamvya,-bije,,se pavaner,v.,P2-C1,"kwîyagamvya, -bije, (cfr. -Agamb-), se pavaner. Ubu umuntu asigaye yiyagamvya mu miháruro, mainienant on peut marcher avec arrogance impunément sur les routes."
kwâganirwa,-niwe,,"désespérer, être sur le point de renoncer",v.,P2-C1,"kwâganirwa, -niwe, (cfr -ââg-), désespérer, être sur le point de renoncer, Syn. kwihebūra. |i N’'avoir ni feu ni Heu"
kwââgānura,-ye,,labourer une terre très dure,v.,P2-C1,"kwââgānura, -ye, (cfr -âg-), labourer une terre très dure. Frapper avec force, || Elargir ses champs. Kurima ukâgānura imisózi, cultiver de grandes étendues. Syn. kwâgura."
kwagāra,-ye,,"chatouiller le larynx, te palais ou la langue, démanger",v.,P2-C1,"kwagāra, -ye, (cfr -ag-), chatouiller le larynx, te palais ou la langue, démanger. Syn. gusââsāta."
kwâgara,-ye,,porter une lourde charge,v.,P2-C1,"kwâgara, -ye, (pop.), (cfr -âgamur-), porter une lourde charge. Kwâgara ku-nda, avoir le ventre bombé, Kwâāgara ku mutwé, avoir une grosse tête, || Néol. (kiganda). Refuser. Syn. kwânka."
urwâgashá,,11|10,rate,n.,P2-C1,"urwâgashá, inz-, 11|10, (cfr -âgatir-), rate."
kwâgatira,-ye,,éire à étroit,adj.,P2-C1,"kwâgatira, -ye, (cfr -âg-), éire à étroit. Kwâgatira hagâti, ĉtre encadré par, se trouver enire deux personnes (qui vous tiennent par les bras)."
kwagāza,-je,,chatouiller,v.,P2-C1,"kwagāza, -je, (cfr -agār-), chatouiller, gratter légèrement, Syn. gukwashagura. Kwagāza umuntu, fiaiter qqn. Kwagaza inká, tranguilliser une vache pour pouvoir la traire. Kwagāza umubïindi, gratter une cruche que Pon est en - train de remplir de boisson en souhaitant qu’il en reste en trop. || Fig. KubwîÎra inkingi ngw unyagââze, être sans enfants, ne pas avoir d'enfants."
kwîyagāzaa,-je,,"se gratter, se chatotiiller",v.,P2-C2,"kwîyagāzaa, -je, (cfr -agāz-), se gratter, se chatotiiller, || Fig. Kwîyagāza (umutwé), être collérex, suscepiible; avoir la tête près du bonnet,"
umwâāgazi,imy-,3|4,"agneau, agnelle",n.,P2-C2,"umwâāgazi, imy-, 3|4, (cfr -âgar-), agneau, agnelle. Umwâgazi wintama, le petit d'une brebis; umwâgazi wimpėène, cabri, chevreau."
ubwăge,,14,pénurie (qui empêche de vivre largement),n.,P2-C2,"ubwăge, 14, (cfr -âg-), pénurie (qui empêche de vivre largement). Prov. 2305-2306."
kwâgira,-ye,,être étroit pour,v.,P2-C2,"kwâgira, -ye, (cfr -âg-), être étroit pour. Fig. Kirănyagiye, tout le monde m'en veut, (litt. le pays est étroit pour moi). | Kwââgira umuntu, dependre de qan ou demander logement à qqn. il Kwâgira Nàmpiri, se fier à qqn. qui ne jouit d'aucun crédit. Prov. 601. ."
kwâgiranya,-nije,,plaider lun contre lautre,v.,P2-C2,"kwâgiranya, -nije, (cfr -âgir-), plaider lun contre lautre. Syn. kubûranira. S'accuser devant les parents, rapporter (enfants)."
umwâgiranyo,imy-,3|4,"rapportages, accusations mutuelles",n.,P2-C2,"umwâgiranyo, imy-, 3|4, (cfr -âgirany-), rapportages, accusations mutuelles. Syn. umurégano."
kwâgiriza,-je,,accuser,v.,P2-C2,"kwâgiriza, -je, (cfr -âgir-), accuser. || Témoigner de lauthenticité d'un acte. Umùúti uvūrá ikinyòma n'ugucâgiriza, (Loc. prov.), le seul remède contre le mensonge c'est amener des preuves, des témoins. Se porter témoin des engdgemenis entre futurs époux, || Traquer. Kwâgiriza igikôkó, traguer un animal durant la chasse. Kwâgiriza igisùma, poursuivre un voleur chez lui. | Ubwôro bwamwâgirije, fa misère Paccable,"
umwâgirizi,,12,accusateur; témoin,n.,P2-C2,"umwâgirizi, 12, (cfr -âgiriz-), accusaateur; témoin. Syn. icăbona, icââgirizi."
urwâgirizo,,,"témoignage, preuve; acte de notoriété",n.,P2-C2,"urwâgirizo, inyágirizo, (cfr -âgiriz-), témoignage, preuve; acte de notoriété. Syn. agahinyúzaa."
kwâgirizwa,-jwe,,"être dans la peine, être souvent malade, être maladif",n.,P2-C2,"kwâgirizwa, -jwe, (cfr -âgiriz-), ĉtre accusé. Syn, kurégwa. || Etre dans la peine, Kwââgirizwa n'indwâra, étre souvent malade, être maladif. Kwâgirizwa n'ûbwôro, devenir irès pauvre."
amâgiro,,6,"refuge, secours, protection",n.,P2-C2,"amâgiro, 6, (cfr -âgir-), refuge, secours, protection. Syn. umwÎtūzo, amasabo. Amâgiro ntâbâ hōse, on ne trouve pas secours partout."
kwiyagisha,-je,,se graiter au moyen de,v.,P2-C2,"kwiyagisha, -1je, (cfr -ag-), se graiter au moyen de. Rāba abăndi itûnga rirahinda nănje nsigaje kwîyagīisha urujo, voilà comme les autres sont riches, quant à moi je n'ai plus rien, Kwiyagisha igiti, ne pas avoir d'enfants, être sans descendance. Prov. 1132."
icâgo,ivy,7l8,calamité,n.,P2-C2,"icâgo, ivy, 7l8, -āâg-), calamité. || Fig. individu hardi. Surhomme, Sert à former certains superlatifs. N'Icâgo mu bwênge, il est très intelligent, N'icago mua kwîruka, i court très vite, Prov, 601, 602, 1012, 1487, 2097, 2465,"
kwâguka,-tse,,"être large, étendu",adj.,P2-C2,"kwâguka, -tse, (cfr -âg-), ĉtre large, étendu. Fig, Etre gourmand."
ubwăguke,,14,largeur,n.,P2-C2,"ubwăguke, 14, (cfr -âguk-), largeur. Syn. ubugàâri."
kwââgukirwa,-iwe,,avoir du bien ati soteil; être riche,v.,P2-C2,"kwââgukirwa, -iwe, (cfr -âguk-), avoir du bien ati soteil; ĉtre riche. || Etre confortablement assis òu couché. S'étaler. Syn. gutabama."
kwâgura,-ve,,élargir,v.,P2-C2,"kwâgura, -ve, (cfr -âg-), élargir, Syn. gutārūra. Kurima ukâgura umusózi, cultiver en largeur, cultiver un grand champ. agwe?! (inv.), interjection qui margue la fatigue, l'épuisement; ouf! Syn. ashi !, abore ! Agwe ! inyôta yar'inyishe, ak! la soif me torturait!"
ahā,,,eh bien!,interj.,P3-C1,"ahā, (inav.), interjection marquant ment: eh bien! Abā wakabāye wāâje!, tiens, tti es quand même venu!"
icâha,ivy-,,"gêne, faute, péché",n.,P3-C1,"icâha, ivy-, 7(8, (cfr -âh-), gêne, faute, péché, Gutêra icâha, gêner. Umugòre yabââye icâha ahanwa numugabo wîwé, lorsque la femme est infidèle, elle est châtiée par son mari. || Fig. Umwâna arââho ar'icâha, cet enfant est méchant. Prov. 603."
ukwâha,-am-,15|6,aisselle,n.,P3-C1,"ukwâha, am-, 15|6, (cfr -âh-), aisselle. Gushira umuntu mu kwâha, emmener gan où lon a été invité à boire. || Fig. Ntā mbavu n'ûkwâha, pas de distinction entre mes enfanis (jitt. il ny a pas de côté ni d’'aisselle). Prov. 1222, 2390, 3328, 3735."
ubwâkwahá,ivyâkwahá,148,poils sous l'aisselle,n.,P3-C1,"ubwâkwahá, ivyâkwahá, 148, (cfr -âha 15), poils sous l'aisselle. Var. ubucâkwahá. Prov. 1564."
ubucâkwahá,,14,poils sous l'aisselle,n.,P3-C1,"ubucâkwahá, 14, (cfr -cá passer, -âhhha 15 aitisselice), poils sous l'aisselle. Var. ubwâkwahá, ubushâkwahá."
ubushâkwahá,,14,poils aux aisselles,n.,P3-C1,"ubushâkwahá, 14, (cfr -âha i15), poils aux aisselles. Var. ubwâkwahâ."
kwâha,-she,,"prendre de la main, détacher de, cueillir",,P3-C1,"kwâha, -she, prendre de la main, détacher de, cueillir. Syn. gusoroma. Kwââha chercher des herbes ou des feuilles médicinales || N’igiti bahákw amababi y'uguhînguramwo c'est un arbre dont ils cueillent les feuilles pour en faire un remède. | Kwâha umùti wa mperáyo, partir définitivement. Prov. 603."
ahă,,,interjection marquant le regret,,P3-C1,"ahă, (inv.), interjection marquant le regret: c'est dommage! Abă!, sinari mbīzi, c'est dommage! je ne le savais pas?"
urwaha,,1l,gros ennuis,,P3-C1,"urwaha, 1l, (cfr -âhb-), gros ennuis."
kwââhagirika,-tse,,courir çà et là,,P3-C1,"kwââhagirika, -tse, (cfr -âh-), courir çà et là. Syn. kwirukanga."
kwââhagura,-ye,,cueillir rapidement,v.,P3-C1,"kwââhagura, -ye, (cfr -âh-), cueillir rapidement. Kwāhagura umutsíma, manger goulûment de la pâte, rafler sa part."
kwiyahagura,-ye,,"peiner, se fatiguer",v.,P3-C1,"kwiyahagura, -ye, (cfr -âhagur-), peiner, se fatiguer. Trimer. Ebe ingénnne yiyáhagura, voyez quelle activité il déploie. || Par ext. peiner pour se faire remarquer, travailler plus que les autres.."
kwîyahagurira,-yee,,cueillir vite pour soi,v.,P3-C1,"kwîyahagurira, -yee, (cfr -âhagur-), cueillir vite pour soi. Kwiyahagurira ubùsa, se dévouer ou être actif en vain."
umwiyahaguro,imy-,3l4,activité,n.,P3-C1,"umwiyahaguro, imy- 3l4, (cfr -îhahagur-), activité,"
kwâêhaguza,-je,,cueillir vite au moyen de,v.,P3-C1,"kwâêhaguza, -je, (cfr -âhagur-), cueillir vite au moyen de, Kwâbaguza umuntu, aider à cueillir rapidement."
ubwiyahaguzi,,14,façon dont on fait effort,n.,P3-C1,"ubwiyahaguzi, 14, (cfr -îyahagur-), façon dont on fait effort. || Par ext. gloriole,"
kwâhāha,-she,,"gêner, Ennuyer",v.,P3-C1,"kwâhāha, -she, (cfr -âh-), gêner, Ennuyer. Reka kumwâhāha, ne lennuie pas, || Chasser par gestes. Bāmye bâhāha impéne ngo ntizône umurima, on d tout le temps empêché les chèvres de dévaster le champ."
ahăndi,-ndi,,,v.,P3-C1,"ahăndi, v. -ndi."
ahăndihó,-ndihó,,interjection marquant l'étonnement: ah!,v.,P3-C1,"ahăndihó, v. -ndihó. ahēë! (inv.), interjection marquant l'étonnement: ah!"
icāhi,ivy-,7(8,peau animal ou cćtoffe servant de couchette aux bébés.,n.,P3-C2,"icāhi, ivy-, 7(8, (cfr -âhbir-), peau animal ou cćtoffe servant de couchette aux bébés. Terme protocolaire désignant tout ce que l'on étend à l'endroit où le roi s'assied ou se couche."
kwââhira,-ye,,cueillir pour.,v.,P3-C2,"kwââhira, -ye, (cfr -âh-), cueillir pour. Nkâhira ubwatsi bw'inyána, j'arracherais pour les veaux. || Calotter : guhûragura, || Avoir faim plusieurs jours. Manger avec beaucoup d'appétit."
kwîyahira,-ye,,cueillir pour soi.,v.,P3-C2,"kwîyahira, -ye, (cfr -âhir-), cueillir pour soi. S'ukwîruka magati yīyáhira, íl sait très bien COUYEF,"
kwâhīra,-riye,,"récolter des feuilles médicinales, des simples",v.,P3-C2,"kwâhīra, -riye, (cfr -âh-), récolter des feuilles médicinales, des simples."
kwâhirana,-nye,,"arracher des herbes avec gan. Se quereller bruyamment. Se calotter mutuellement, se battre.",v.,P3-C2,"kwâhirana, -nye, (cfr -âhir-), arracher des herbes avec gan. | Se quereller bruyamment. Se calotter mutuellement, se battre."
Jondamaniyáhire,,,sobriquet du mari dont la femme porte les culottes,n.,P3-C2,"Jondamaniyáhire, la, (-jondam- penche (toi), -âhhir- cueillir: je vais cueillir moi-même), sobriquet du mari dont la femme porte les culottes"
kwâhirira,-ye,,"arracher des herbes fraiches pour en donner aux veaux, Souffrir de la faim, en être réduit à cucillir une nourriture d'appoint (baies, herbes sauvages).",v.,P3-C2,"kwâhirira, -ye, (cfr -âhir-), arracher des herbes fraiches pour en donner aux veaux, || Souffrir de la faim, en être réduit à cucillir une nourriture d'appoint (baies, herbes sauvages)."
kwâhirirwa,-âhiriwe,,recevoir du fourrage,v.,P3-C2,"kwâhirirwa, -âhiriwe, (cfr -âhir-), recevoir du fourrage (veau). Inyána yāhirirwa, veau de six â huit semaimes."
kwâhiza,-jee,,aider à arracher des herbes,v.,P3-C2,"kwâhiza, -jee, (cfr -âhir-), aider à arracher des herbes; arracher au moyen de. Sya. kumomoza. || Battre au moyen de. Calotter. Syn. guhûraguza."
umwâho,imy-,314,jeune tubercule de colocase,,P3-C2,"umwâho, imy-, 314, (cfr -âh-), jeune tubercule de colocase. || Sentier large frayé par les froupeaux. Syn. ikirâri."
ukurâho,-râho,,,v.,P3-C2,"ukurâho, v. -râho."
ahore,,,"abréviation de aho rēró; locution interjective: à la bonne heure! || Eh bien, voilà! !| Ouf!",adv.,P3-C2,"ahore, (inv.), abréviation de aho rēró; locution interjective: à la bonne heure! || Eh bien, voilà! !| Ouf!"
ahŭbwo,,,"autant que, au contraire.",adv.,P3-C2,"ahŭbwo, (inv.), autant que, au contraire. Ahùbwo mpfé, plutôt mourir! Abùbwo ni we, autant dire que cest lui. Ahubwooo iyó yanká, Si, dut moins, il avait refusé."
Abahbuka,,,mauvaise famille de Hima.,n.,P3-C2,"Abahbuka, 2, mauvaise famille de Hima. Autre- fois bouviers royaux."
kwâhuka,-tse,,aller paitre (troupeau de vaches). Syn. kurîsha.,v.,P3-C2,"kwâhuka, -tse, (cfr -âh-), aller paitre (troupeau de vaches). Syn. kurîsha. || Entamer, se mettre à àAhuke mufungúre, commencez donc à manger. Bāhuka mu vy'ukurima, zis se mettent enfin à cultiver. | Kwàhuka umuntu, chercher querelle à gan; le provoquer; frapper. En complexe verbal, ce verbe régit cinq modes : Findicatif, le conjonctif, l'infinitif, Ie subjonctif et le subsécutif. H exprime diverses nuances circoastancielles telles que: alors, ensuite indiquant une nouvelle action qui commence. Yaziragiye íi mpande yamasâáka zirayâhuka zirayôna, il les fait à côté du sorgho et alors, bien sûr, il est inévitable qwelles y fassent des déprédations."
kwîyahukiza,-je,,s'aventurer. Commencer à.,v.,P4-C1,"kwîyahukiza, -je, (cfr -Ahuk-), s'aventurer. Commencer à. Arîyahukiza ararira, il conunença à pleurer. Vyâ bisazi vyl yahbukije, il a sa crise de folie. || Kwiyahukiza imirāba, errer dans la brousse. || Déborder (rivière)."
umwîyahukizo,imy-,3l4,vagabondage; à aventure,n.,P4-C1,"umwîyahukizo, imy-, 3l4, (cfr -îyahukiz-), vagabondage; à aventure, Syn. ubwângāzi."
kwâhura,-ye,,"faire paître (iroupeau). Causer la sécheresse dans les cultures, brûler (soleil). faire couler Veau dans des rigoles, drainer. Couper complètement.",v.,P4-C1,"kwâhura, -ye, (cfr -âh-), faire paître (iroupeau). || Causer la sécheresse dans les cultures, brûler (soleil). | Kwâhura amâzi, faire couler Veau dans des rigoles, drainer. || Fig. Vendre qqn au juge. Syn. Kuguraguranya. || Couper complètement."
kwîyahura,-ye,,se suicider.,v.,P4-C1,"kwîyahura, -ye, (cfr -âhur-), se suicider. Uyu ní yapfá nzōca nîyahure, si ce? (enfant)-ci meurt, je me suiciderai. || Fig. S'évertuer à jaire une chose au-dessus de ses forces. Prov. 994, 998, 1728."
nyawïiyahura,,,sorte de papillon,n.,P4-C1,"nyawïiyahura, vyanyáwïyahbura, (cfr -îyahur-), phalène, sorte de papillon. IIyó nyawïyahura kītûye mu zîÎko, bagira ngo hari umushitsi bakundá arí mu kūza, lorsauw'un papillon tombe dans le foyer, on prétend que c'est le présage dune visite agréable,"
vyanyáwïyahbura,,,sorte de papillon,n.,P4-C1,"kwâhuranya, -nije, (cfr -àâhur-), couper. compiètement, séparer en deux tronçons, | Kwâhuranya imisózi, cultiver plusieurs collines. || Kwâhuranya imirāba ishamba, fuir â travers tout (voleur), distancer ses poursuivants."
phalène,,,sorte de papillon,n.,P4-C1,"kwîyahurira, -iye, (cfr -îyahur-), se suicider à cause de, pour. | Fig, KwîÎyahurira umushitsi, faire tout son possible pour bien recevoir un hôte, un visiteur. Se mettre en quatre. Nīiyáburire ivyā Gitănga, je vais faire paitre dans la région de G."
kwâhuranya,-nije,,couper,v.,P4-C1,"umwâhuro, imy-, 3|4, (cfr -àhur-), une rigole. Syn. umufurege (sw.), umugënde,"
imisózi,,,cultiver plusieurs collines,v.,,
imirāba,,,fuir à travers tout,v.,,
umwâhuro,imy-,3|4,une rigole,n.,,
ubwâhuro,,,recevoir les lotions rituelles,v.,P4-C2,"ubwâhuro, 14, (cfr -âhur-), Guhâbwa ubwâhuro bwa Kiranga, recevoir les lotions rituelles qui permettront à une jeune fille de se marier sans crainte, si autrefois elle a dû kubandwa; ces lotions lui seront adrministrées par le devin sous le même arbre sacré où elle a participé aux rites d'initiation (kubandwa)."
kwìyahuaza,-je,,se fuer au moyen de,i,P4-C2,"kwìyahuaza, -je, (cfr -îyahur-), se fuer au moyen de. i"
urwâhuzo,,11,sillon fatit par la houe dans un champ,n.,P4-C2,"urwâhuzo, inz-, 11(t0, (cfr -âhuro 3), sillon fatit par la houe dans un champ. Coup de pioche. Prov. 1336."
umwăhwa,imy-,3l4,"simples; herbe, feuille, racine d'arbre ou d'herbe servant de remède",n.,P4-C2,"umwăhwa, imy-, 3l4, (cfr -âh-), simples; herbe, feuille, racine d'arbre ou d'herbe servant de remède. Syn. umusábiko. || Umva umwăhwa ! UUUmva umùûti!, ça, c'est réussi!"
umwakaāka,imy-,34,nouveauté un habit,n.,P4-C2,"umwakaāka, imy-, 34, (cfr -aKāk-), nouveauté un habit. || Blancheur. Syn. ubwëre, umwërāsi."
urwakāka,,11,"groupe, collection d'objets brillants",n.,P4-C2,"urwakāka, 11, (cfr -akāk-), groupe, collection d'objets brillants, animés. Urwakāka rw'âbâna, une multitude d'enfants insouctants. Urwakāka rw'abagnwa, une foule de princes ou de chefs. Urwakāka rw'inzu zisizé ishwagara, Véciat des maisons chaulées,"
